Day,GtrenScore_US
2017-05-21,34
2017-05-22,68
2017-05-23,71
2017-05-24,75
2017-05-25,100
2017-05-26,76
2017-05-27,58
2017-05-28,44
2017-05-29,40
2017-05-30,44
2017-05-31,43
2017-06-01,42
2017-06-02,38
2017-06-03,34
2017-06-04,30
2017-06-05,38
2017-06-06,54
2017-06-07,51
2017-06-08,40
2017-06-09,39
2017-06-10,36
2017-06-11,40
2017-06-12,57
2017-06-13,45
2017-06-14,44
2017-06-15,56
2017-06-16,44
2017-06-17,33
2017-06-18,31
2017-06-19,32
2017-06-20,39
2017-06-21,40
2017-06-22,38
2017-06-23,33
2017-06-24,29
2017-06-25,29
2017-06-26,39
2017-06-27,42
2017-06-28,40
2017-06-29,32
2017-06-30,27
2017-07-01,24
2017-07-02,25
2017-07-03,28
2017-07-04,25
2017-07-05,26
2017-07-06,28
2017-07-07,26
2017-07-08,25
2017-07-09,23
2017-07-10,29
2017-07-11,32
2017-07-12,32
2017-07-13,30
2017-07-14,29
2017-07-15,32
2017-07-16,38
2017-07-17,37
2017-07-18,38
2017-07-19,35
2017-07-20,41
2017-07-21,39
2017-07-22,32
2017-07-23,30
2017-07-24,34
2017-07-25,38
2017-07-26,34
2017-07-27,33
2017-07-28,39
2017-07-29,32
2017-07-30,30
2017-07-31,39
2017-08-01,82
2017-08-02,69
2017-08-03,44
2017-08-04,41
2017-08-05,54
2017-08-06,43
2017-08-07,52
2017-08-08,54
2017-08-09,49
2017-08-10,44
2017-08-11,50
2017-08-12,59
2017-08-13,76
2017-08-14,83
2017-08-15,82
2017-08-16,66
2017-08-17,63
2017-08-18,63
2017-08-19,58
2017-08-20,50
2017-08-21,48
2017-08-22,60
2017-08-23,53
2017-08-24,52
2017-08-25,52
2017-08-26,45
2017-08-27,37
2017-08-28,43
2017-08-29,54
2017-08-30,53
2017-08-31,58
2017-09-01,64
2017-09-02,64
2017-09-03,53
2017-09-04,65
2017-09-05,64
2017-09-06,51
2017-09-07,48
2017-09-08,55
2017-09-09,41
2017-09-10,40
2017-09-11,47
2017-09-12,53
2017-09-13,77
2017-09-14,98
2017-09-15,93
2017-09-16,57
2017-09-17,45
2017-09-18,58
2017-09-19,53
2017-09-20,45
2017-09-21,49
2017-09-22,46
2017-09-23,36
2017-09-24,33
2017-09-25,41
2017-09-26,38
2017-09-27,44
2017-09-28,42
2017-09-29,39
2017-09-30,36
2017-10-01,37
2017-10-02,40
2017-10-03,41
2017-10-04,39
2017-10-05,36
2017-10-06,33
2017-10-07,33
2017-10-08,36
2017-10-09,46
2017-10-10,47
2017-10-11,45
2017-10-12,76
2017-10-13,99
2017-10-14,61
2017-10-15,58
2017-10-16,61
2017-10-17,58
2017-10-18,61
2017-10-19,58
2017-10-20,75
2017-10-21,74
2017-10-22,60
2017-10-23,70
2017-10-24,75
2017-10-25,68
2017-10-26,66
2017-10-27,60
2017-10-28,50
2017-10-29,56
2017-10-30,65
2017-10-31,83
2017-11-01,100
2017-11-02,18
2017-11-03,16
2017-11-04,12
2017-11-05,12
2017-11-06,13
2017-11-07,12
2017-11-08,14
2017-11-09,12
2017-11-10,16
2017-11-11,14
2017-11-12,18
2017-11-13,16
2017-11-14,12
2017-11-15,12
2017-11-16,13
2017-11-17,17
2017-11-18,13
2017-11-19,11
2017-11-20,15
2017-11-21,16
2017-11-22,14
2017-11-23,11
2017-11-24,11
2017-11-25,13
2017-11-26,21
2017-11-27,28
2017-11-28,31
2017-11-29,59
2017-11-30,46
2017-12-01,35
2017-12-02,26
2017-12-03,25
2017-12-04,30
2017-12-05,30
2017-12-06,43
2017-12-07,100
2017-12-08,85
2017-12-09,56
2017-12-10,51
2017-12-11,58
2017-12-12,56
2017-12-13,50
2017-12-14,42
2017-12-15,36
2017-12-16,38
2017-12-17,41
2017-12-18,43
2017-12-19,45
2017-12-20,68
2017-12-21,47
2017-12-22,95
2017-12-23,57
2017-12-24,40
2017-12-25,33
2017-12-26,35
2017-12-27,32
2017-12-28,32
2017-12-29,29
2017-12-30,27
2017-12-31,23
2018-01-01,45
2018-01-02,54
2018-01-03,54
2018-01-04,52
2018-01-05,50
2018-01-06,45
2018-01-07,44
2018-01-08,50
2018-01-09,49
2018-01-10,50
2018-01-11,55
2018-01-12,46
2018-01-13,40
2018-01-14,38
2018-01-15,37
2018-01-16,76
2018-01-17,100
2018-01-18,70
2018-01-19,51
2018-01-20,42
2018-01-21,39
2018-01-22,45
2018-01-23,43
2018-01-24,40
2018-01-25,39
2018-01-26,39
2018-01-27,32
2018-01-28,31
2018-01-29,32
2018-01-30,35
2018-01-31,38
2018-02-01,49
2018-02-02,65
2018-02-03,42
2018-02-04,37
2018-02-05,64
2018-02-06,80
2018-02-07,52
2018-02-08,43
2018-02-09,38
2018-02-10,31
2018-02-11,28
2018-02-12,31
2018-02-13,29
2018-02-14,29
2018-02-15,31
2018-02-16,28
2018-02-17,26
2018-02-18,26
2018-02-19,25
2018-02-20,28
2018-02-21,28
2018-02-22,26
2018-02-23,23
2018-02-24,20
2018-02-25,20
2018-02-26,21
2018-02-27,22
2018-02-28,21
2018-03-01,20
2018-03-02,19
2018-03-03,18
2018-03-04,17
2018-03-05,19
2018-03-06,19
2018-03-07,22
2018-03-08,21
2018-03-09,24
2018-03-10,18
2018-03-11,18
2018-03-12,20
2018-03-13,19
2018-03-14,22
2018-03-15,24
2018-03-16,20
2018-03-17,19
2018-03-18,22
2018-03-19,21
2018-03-20,19
2018-03-21,19
2018-03-22,18
2018-03-23,17
2018-03-24,14
2018-03-25,15
2018-03-26,20
2018-03-27,19
2018-03-28,17
2018-03-29,20
2018-03-30,23
2018-03-31,17
2018-04-01,18
2018-04-02,100
2018-04-03,91
2018-04-04,88
2018-04-05,93
2018-04-06,95
2018-04-07,77
2018-04-08,72
2018-04-09,85
2018-04-10,84
2018-04-11,76
2018-04-12,96
2018-04-13,95
2018-04-14,73
2018-04-15,72
2018-04-16,77
2018-04-17,75
2018-04-18,74
2018-04-19,78
2018-04-20,79
2018-04-21,72
2018-04-22,71
2018-04-23,78
2018-04-24,92
2018-04-25,86
2018-04-26,73
2018-04-27,73
2018-04-28,63
2018-04-29,63
2018-04-30,67
2018-05-01,66
2018-05-02,66
2018-05-03,69
2018-05-04,68
2018-05-05,67
2018-05-06,63
2018-05-07,70
2018-05-08,68
2018-05-09,64
2018-05-10,66
2018-05-11,77
2018-05-12,62
2018-05-13,57
2018-05-14,69
2018-05-15,64
2018-05-16,63
2018-05-17,62
2018-05-18,59
2018-05-19,51
2018-05-20,51
2018-05-21,57
2018-05-22,59
2018-05-23,73
2018-05-24,70
2018-05-25,60
2018-05-26,51
2018-05-27,52
2018-05-28,59
2018-05-29,62
2018-05-30,58
2018-05-31,55
2018-06-01,51
2018-06-02,49
2018-06-03,48
2018-06-04,54
2018-06-05,52
2018-06-06,52
2018-06-07,52
2018-06-08,49
2018-06-09,44
2018-06-10,64
2018-06-11,82
2018-06-12,68
2018-06-13,76
2018-06-14,66
2018-06-15,56
2018-06-16,50
2018-06-17,49
2018-06-18,57
2018-06-19,55
2018-06-20,55
2018-06-21,51
2018-06-22,63
2018-06-23,55
2018-06-24,64
2018-06-25,57
2018-06-26,54
2018-06-27,52
2018-06-28,51
2018-06-29,67
2018-06-30,59
2018-07-01,50
2018-07-02,72
2018-07-03,67
2018-07-04,66
2018-07-05,67
2018-07-06,61
2018-07-07,53
2018-07-08,57
2018-07-09,61
2018-07-10,66
2018-07-11,60
2018-07-12,65
2018-07-13,61
2018-07-14,55
2018-07-15,53
2018-07-16,64
2018-07-17,82
2018-07-18,94
2018-07-19,79
2018-07-20,73
2018-07-21,65
2018-07-22,63
2018-07-23,77
2018-07-24,100
2018-07-25,91
2018-07-26,81
2018-07-27,81
2018-07-28,65
2018-07-29,63
2018-07-30,72
2018-07-31,74
2018-08-01,70
2018-08-02,69
2018-08-03,70
2018-08-04,66
2018-08-05,63
2018-08-06,70
2018-08-07,72
2018-08-08,89
2018-08-09,75
2018-08-10,72
2018-08-11,73
2018-08-12,64
2018-08-13,73
2018-08-14,90
2018-08-15,83
2018-08-16,71
2018-08-17,68
2018-08-18,58
2018-08-19,57
2018-08-20,65
2018-08-21,68
2018-08-22,73
2018-08-23,66
2018-08-24,62
2018-08-25,56
2018-08-26,55
2018-08-27,62
2018-08-28,76
2018-08-29,69
2018-08-30,69
2018-08-31,62
2018-09-01,59
2018-09-02,63
2018-09-03,64
2018-09-04,68
2018-09-05,83
2018-09-06,92
2018-09-07,72
2018-09-08,61
2018-09-09,60
2018-09-10,66
2018-09-11,67
2018-09-12,73
2018-09-13,70
2018-09-14,63
2018-09-15,56
2018-09-16,53
2018-09-17,61
2018-09-18,58
2018-09-19,61
2018-09-20,61
2018-09-21,68
2018-09-22,57
2018-09-23,53
2018-09-24,57
2018-09-25,59
2018-09-26,60
2018-09-27,59
2018-09-28,58
2018-09-29,50
2018-09-30,49
2018-10-01,52
2018-10-02,38
2018-10-03,40
2018-10-04,39
2018-10-05,36
2018-10-06,33
2018-10-07,31
2018-10-08,38
2018-10-09,39
2018-10-10,40
2018-10-11,52
2018-10-12,42
2018-10-13,35
2018-10-14,35
2018-10-15,47
2018-10-16,42
2018-10-17,39
2018-10-18,38
2018-10-19,37
2018-10-20,33
2018-10-21,32
2018-10-22,38
2018-10-23,38
2018-10-24,38
2018-10-25,37
2018-10-26,36
2018-10-27,32
2018-10-28,30
2018-10-29,37
2018-10-30,37
2018-10-31,39
2018-11-01,38
2018-11-02,37
2018-11-03,33
2018-11-04,38
2018-11-05,41
2018-11-06,40
2018-11-07,39
2018-11-08,38
2018-11-09,37
2018-11-10,31
2018-11-11,33
2018-11-12,37
2018-11-13,39
2018-11-14,59
2018-11-15,68
2018-11-16,52
2018-11-17,43
2018-11-18,39
2018-11-19,68
2018-11-20,100
2018-11-21,78
2018-11-22,55
2018-11-23,58
2018-11-24,54
2018-11-25,81
2018-11-26,80
2018-11-27,73
2018-11-28,68
2018-11-29,59
2018-11-30,55
2018-12-01,48
2018-12-02,42
2018-12-03,53
2018-12-04,53
2018-12-05,51
2018-12-06,56
2018-12-07,73
2018-12-08,53
2018-12-09,48
2018-12-10,54
2018-12-11,50
2018-12-12,49
2018-12-13,50
2018-12-14,54
2018-12-15,49
2018-12-16,46
2018-12-17,55
2018-12-18,54
2018-12-19,59
2018-12-20,60
2018-12-21,56
2018-12-22,45
2018-12-23,45
2018-12-24,52
2018-12-25,50
2018-12-26,47
2018-12-27,48
2018-12-28,48
2018-12-29,43
2018-12-30,40
2018-12-31,40
2019-01-01,77
2019-01-02,90
2019-01-03,93
2019-01-04,88
2019-01-05,75
2019-01-06,77
2019-01-07,88
2019-01-08,86
2019-01-09,86
2019-01-10,100
2019-01-11,88
2019-01-12,73
2019-01-13,78
2019-01-14,83
2019-01-15,82
2019-01-16,78
2019-01-17,76
2019-01-18,72
2019-01-19,65
2019-01-20,63
2019-01-21,73
2019-01-22,72
2019-01-23,68
2019-01-24,71
2019-01-25,70
2019-01-26,64
2019-01-27,61
2019-01-28,76
2019-01-29,78
2019-01-30,72
2019-01-31,71
2019-02-01,69
2019-02-02,63
2019-02-03,61
2019-02-04,75
2019-02-05,86
2019-02-06,84
2019-02-07,77
2019-02-08,80
2019-02-09,75
2019-02-10,68
2019-02-11,72
2019-02-12,69
2019-02-13,71
2019-02-14,71
2019-02-15,68
2019-02-16,62
2019-02-17,61
2019-02-18,82
2019-02-19,92
2019-02-20,84
2019-02-21,80
2019-02-22,76
2019-02-23,74
2019-02-24,93
2019-02-25,80
2019-02-26,78
2019-02-27,69
2019-02-28,71
2019-03-01,67
2019-03-02,63
2019-03-03,62
2019-03-04,67
2019-03-05,73
2019-03-06,72
2019-03-07,69
2019-03-08,66
2019-03-09,67
2019-03-10,62
2019-03-11,68
2019-03-12,68
2019-03-13,64
2019-03-14,64
2019-03-15,64
2019-03-16,66
2019-03-17,64
2019-03-18,68
2019-03-19,70
2019-03-20,73
2019-03-21,76
2019-03-22,70
2019-03-23,64
2019-03-24,59
2019-03-25,67
2019-03-26,66
2019-03-27,73
2019-03-28,68
2019-03-29,70
2019-03-30,61
2019-03-31,60
2019-04-01,73
2019-04-02,43
2019-04-03,46
2019-04-04,33
2019-04-05,27
2019-04-06,23
2019-04-07,24
2019-04-08,28
2019-04-09,26
2019-04-10,26
2019-04-11,27
2019-04-12,23
2019-04-13,20
2019-04-14,19
2019-04-15,22
2019-04-16,22
2019-04-17,23
2019-04-18,22
2019-04-19,22
2019-04-20,21
2019-04-21,20
2019-04-22,22
2019-04-23,30
2019-04-24,25
2019-04-25,23
2019-04-26,25
2019-04-27,19
2019-04-28,19
2019-04-29,20
2019-04-30,20
2019-05-01,21
2019-05-02,21
2019-05-03,27
2019-05-04,24
2019-05-05,23
2019-05-06,24
2019-05-07,28
2019-05-08,28
2019-05-09,31
2019-05-10,32
2019-05-11,43
2019-05-12,44
2019-05-13,51
2019-05-14,61
2019-05-15,49
2019-05-16,46
2019-05-17,43
2019-05-18,34
2019-05-19,37
2019-05-20,37
2019-05-21,38
2019-05-22,34
2019-05-23,32
2019-05-24,32
2019-05-25,29
2019-05-26,30
2019-05-27,43
2019-05-28,39
2019-05-29,36
2019-05-30,39
2019-05-31,35
2019-06-01,29
2019-06-02,29
2019-06-03,31
2019-06-04,37
2019-06-05,31
2019-06-06,29
2019-06-07,30
2019-06-08,26
2019-06-09,25
2019-06-10,26
2019-06-11,27
2019-06-12,27
2019-06-13,27
2019-06-14,30
2019-06-15,29
2019-06-16,37
2019-06-17,39
2019-06-18,40
2019-06-19,34
2019-06-20,34
2019-06-21,43
2019-06-22,69
2019-06-23,48
2019-06-24,51
2019-06-25,56
2019-06-26,100
2019-06-27,86
2019-06-28,63
2019-06-29,48
2019-06-30,41
2019-07-01,49
2019-07-02,100
2019-07-03,92
2019-07-04,85
2019-07-05,80
2019-07-06,70
2019-07-07,64
2019-07-08,81
2019-07-09,91
2019-07-10,98
2019-07-11,88
2019-07-12,85
2019-07-13,70
2019-07-14,73
2019-07-15,88
2019-07-16,87
2019-07-17,96
2019-07-18,88
2019-07-19,75
2019-07-20,64
2019-07-21,64
2019-07-22,68
2019-07-23,68
2019-07-24,72
2019-07-25,69
2019-07-26,63
2019-07-27,65
2019-07-28,59
2019-07-29,65
2019-07-30,62
2019-07-31,65
2019-08-01,62
2019-08-02,69
2019-08-03,62
2019-08-04,61
2019-08-05,90
2019-08-06,87
2019-08-07,78
2019-08-08,74
2019-08-09,66
2019-08-10,61
2019-08-11,57
2019-08-12,66
2019-08-13,66
2019-08-14,73
2019-08-15,77
2019-08-16,64
2019-08-17,57
2019-08-18,57
2019-08-19,65
2019-08-20,64
2019-08-21,64
2019-08-22,63
2019-08-23,60
2019-08-24,53
2019-08-25,52
2019-08-26,59
2019-08-27,59
2019-08-28,61
2019-08-29,69
2019-08-30,57
2019-08-31,49
2019-09-01,47
2019-09-02,60
2019-09-03,64
2019-09-04,59
2019-09-05,57
2019-09-06,58
2019-09-07,49
2019-09-08,47
2019-09-09,53
2019-09-10,51
2019-09-11,51
2019-09-12,51
2019-09-13,48
2019-09-14,44
2019-09-15,43
2019-09-16,48
2019-09-17,46
2019-09-18,47
2019-09-19,51
2019-09-20,47
2019-09-21,41
2019-09-22,42
2019-09-23,48
2019-09-24,70
2019-09-25,78
2019-09-26,73
2019-09-27,65
2019-09-28,52
2019-09-29,52
2019-09-30,61
2019-10-01,56
2019-10-02,62
2019-10-03,62
2019-10-04,57
2019-10-05,53
2019-10-06,53
2019-10-07,63
2019-10-08,61
2019-10-09,62
2019-10-10,61
2019-10-11,56
2019-10-12,50
2019-10-13,48
2019-10-14,57
2019-10-15,57
2019-10-16,59
2019-10-17,57
2019-10-18,55
2019-10-19,50
2019-10-20,49
2019-10-21,56
2019-10-22,55
2019-10-23,68
2019-10-24,65
2019-10-25,74
2019-10-26,100
2019-10-27,72
2019-10-28,72
2019-10-29,71
2019-10-30,63
2019-10-31,62
2019-11-01,59
2019-11-02,52
2019-11-03,51
2019-11-04,58
2019-11-05,61
2019-11-06,58
2019-11-07,56
2019-11-08,58
2019-11-09,52
2019-11-10,51
2019-11-11,55
2019-11-12,55
2019-11-13,55
2019-11-14,51
2019-11-15,51
2019-11-16,50
2019-11-17,48
2019-11-18,53
2019-11-19,58
2019-11-20,54
2019-11-21,64
2019-11-22,76
2019-11-23,60
2019-11-24,58
2019-11-25,80
2019-11-26,68
2019-11-27,63
2019-11-28,60
2019-11-29,55
2019-11-30,51
2019-12-01,51
2019-12-02,55
2019-12-03,55
2019-12-04,55
2019-12-05,55
2019-12-06,52
2019-12-07,48
2019-12-08,44
2019-12-09,51
2019-12-10,52
2019-12-11,51
2019-12-12,52
2019-12-13,51
2019-12-14,50
2019-12-15,48
2019-12-16,54
2019-12-17,66
2019-12-18,67
2019-12-19,62
2019-12-20,55
2019-12-21,51
2019-12-22,48
2019-12-23,58
2019-12-24,50
2019-12-25,51
2019-12-26,52
2019-12-27,51
2019-12-28,51
2019-12-29,49
2019-12-30,51
2019-12-31,49
2020-01-01,48
2020-01-02,61
2020-01-03,65
2020-01-04,63
2020-01-05,59
2020-01-06,63
2020-01-07,83
2020-01-08,86
2020-01-09,62
2020-01-10,71
2020-01-11,66
2020-01-12,57
2020-01-13,56
2020-01-14,88
2020-01-15,81
2020-01-16,71
2020-01-17,73
2020-01-18,74
2020-01-19,79
2020-01-20,68
2020-01-21,61
2020-01-22,61
2020-01-23,62
2020-01-24,61
2020-01-25,54
2020-01-26,49
2020-01-27,60
2020-01-28,74
2020-01-29,78
2020-01-30,79
2020-01-31,73
2020-02-01,67
2020-02-02,64
2020-02-03,68
2020-02-04,71
2020-02-05,82
2020-02-06,78
2020-02-07,73
2020-02-08,69
2020-02-09,100
2020-02-10,80
2020-02-11,87
